,Silhouette Score,Spearman Coefficient,Batch Entropy
Regular Decipher,0.19320577383041382,-0.9689367680980638,1.965213800398787
"Attention BC (β=1.0, 2 heads)",0.17188091576099396,0.14339727607999644,2.298637784066
Concatenation BC (β=1.0),0.24839656054973602,-0.7758857722969942,2.2481878018270134
