,V-space Batch Silhouette,Batch Entropy,V-Pseudotime Correlation (Spearman)
Regular Decipher (no batch correction),-0.02648134157061577,2.2535709116191005,-0.3201108565396222
"Initial Training (Beta = 0.1, Heads = 4)",-0.14631782472133636,2.634635017302448,0.061271907131225864
"Beta = 1.0, Heads = 4",-0.006208299659192562,2.5373170713576005,-0.18147508928555436
"Beta = 1.0, Heads = 2",-0.0071367425844073296,2.5078033387872303,-0.28842062647311834
Concatenation BC (Beta = 1.0),0.0247036162763834,2.502328191548936,-0.4403287679821111
