Experiment,UMAP_batch_silhouette,V_space_batch_silhouette,mean_batch_entropy,std_batch_entropy,spearman_v_pseudotime_corr,pearson_v_pseudotime_corr,pseudotime_range,n_cells_with_pseudotime
Regular Decipher,-0.24371762573719025,-0.28395408391952515,1.8348995063414553,0.6168596606128942,0.3223155326811278,0.2497760278150245,"(np.float32(0.0), np.float32(1.0))",19141.0
Beta=1.0 + 2 Heads,-0.260566771030426,-0.2520553469657898,2.414144797269194,0.40005568374817935,,,,
Beta=0.5 (4 heads),-0.2613927721977234,-0.27276161313056946,2.4179713501364635,0.3955804230600081,,,,
Beta=1.0 (4 heads),-0.2584388852119446,-0.2721802890300751,2.4133630723943345,0.39187791310363196,,,,
Beta=2.0 (4 heads),-0.25605708360671997,-0.3655165433883667,2.4288784079678423,0.4209388745211127,,,,
Beta=0.1 (2 heads),-0.2572440505027771,-0.30420345067977905,2.4080526916944884,0.3993908645435492,,,,
Beta=0.1 (4 heads),-0.25605708360671997,-0.3655165433883667,2.4288784079678423,0.4209388745211127,0.4898447297043361,0.4798591612619323,"(np.float32(0.0), np.float32(1.0))",19536.0
