method,ARI,which_dataset
X_norm_umap,0.5383086490358482,shiftTrue_alpha1
X_default_umap,0.42636331155597657,shiftTrue_alpha1
decipher_decipher_v,0.5128951539878955,shiftTrue_alpha1
