method,ARI,which_dataset
X_norm_umap,0.4754476555959967,shiftTrue_alpha0.1
X_default_umap,0.36907273686866965,shiftTrue_alpha0.1
decipher_decipher_v,0.4639566770275548,shiftTrue_alpha0.1
