batch_silhouette,pseudotime_correlation,pseudotime_pval,cluster_ari,magnitude,max_shift,increment,method
-0.019671887159347534,0.8867273359597582,0.0,0.5569622027147135,0.05,3.0,0.05,original
-0.014160461723804474,0.6572747399423655,1.0467451234084756e-247,0.4895066900121601,0.05,3.0,0.05,batch_corrected
-0.009996500797569752,0.8905932665199191,0.0,0.5889136943010619,0.02,3.0,0.02,original
-0.00652203569188714,0.5333836878414964,1.9061143720631248e-147,0.5058549515635059,0.02,3.0,0.02,batch_corrected
-0.019495883956551552,0.8208618106406131,0.0,0.5346463220292256,0.1,3.0,0.1,original
-0.022655103355646133,0.7935721926398933,0.0,0.4031944204891452,0.1,3.0,0.1,batch_corrected
-0.036529336124658585,0.9006479542426823,0.0,0.42424205935883674,0.2,3.0,0.2,original
-0.025173645466566086,0.7944210042313816,0.0,0.38524361033560484,0.2,3.0,0.2,batch_corrected
-0.03161764517426491,0.8440353029612464,0.0,0.33035080393000843,0.5,3.0,0.5,original
-0.030898194760084152,0.4927816704716846,7.418241765480069e-123,0.3004496204786656,0.5,3.0,0.5,batch_corrected
-0.03387856110930443,0.840651713809356,0.0,0.29125272278090353,0.7,3.0,0.7,original
-0.027490194886922836,0.5805607118812485,1.3999871149828946e-180,0.24647285293814056,0.7,3.0,0.7,batch_corrected
-0.021182740107178688,0.8111689900067093,0.0,0.27215873721747486,1.0,3.0,1.0,original
-0.04943099990487099,0.6345619707252025,7.721612164956747e-226,0.18386031357741545,1.0,3.0,1.0,batch_corrected
-0.013539130799472332,0.7546201723036827,0.0,0.21089591572698818,1.5,3.0,1.5,original
-0.02673201821744442,0.6108016981851162,7.605469567828503e-205,0.1266066817223951,1.5,3.0,1.5,batch_corrected
-0.007532840594649315,0.7167782367274862,3.547958604e-315,0.1494413165704961,2.0,3.0,2.0,original
-0.030048785731196404,0.023986917919011152,0.28362518293968725,0.11958310205064365,2.0,3.0,2.0,batch_corrected
-0.0037872199900448322,0.6298336389319082,1.6282424551722577e-221,0.08916022179770859,3.0,3.0,3.0,original
-0.044935714453458786,0.3728125337558342,5.6540591687189596e-67,0.07113205869488573,3.0,3.0,3.0,batch_corrected
0.0005769309937022626,0.5573257850557025,1.3496920043629179e-163,0.04168883852837825,5.0,3.0,5.0,original
-0.08787310868501663,0.6266958056686341,1.0965875156844861e-218,0.029871632485167617,5.0,3.0,5.0,batch_corrected
