method,ARI,which_dataset
X_norm_umap,0.4926452304939276,shiftTrue_alpha2
X_default_umap,0.4027839939260352,shiftTrue_alpha2
decipher_decipher_v,0.48698653291983507,shiftTrue_alpha2
